id,text_string
upload1,Tool: Upload File. Description: from your computer. Category: Get Data.
ucsc_table_direct1,Tool: UCSC Main. Description: table browser. Category: Get Data.
ucsc_table_direct_archaea1,Tool: UCSC Archaea. Description: table browser. Category: Get Data.
sra_source,Tool: SRA. Description: server. Category: Get Data.
ebi_sra_main,Tool: EBI SRA. Description: ENA SRA. Category: Get Data.
intermine,Tool: InterMine. Description: server. Category: Get Data.
export_remote,Tool: Export datasets. Description: to remote files source. Category: Send Data.
__UNZIP_COLLECTION__,Tool: Unzip collection. Description:  . Category: Collection Operations.
__ZIP_COLLECTION__,Tool: Zip collections. Description:  . Category: Collection Operations.
__FILTER_FAILED_DATASETS__,Tool: Filter failed datasets. Description:  . Category: Collection Operations.
__FILTER_EMPTY_DATASETS__,Tool: Filter empty datasets. Description:  . Category: Collection Operations.
__KEEP_SUCCESS_DATASETS__,Tool: Keep success. Description:  . Category: Collection Operations.
__FLATTEN__,Tool: Flatten collection. Description:  . Category: Collection Operations.
__MERGE_COLLECTION__,Tool: Merge collections. Description:  . Category: Collection Operations.
__RELABEL_FROM_FILE__,Tool: Relabel identifiers. Description:  . Category: Collection Operations.
__FILTER_FROM_FILE__,Tool: Filter collection. Description:  . Category: Collection Operations.
__SORTLIST__,Tool: Sort collection. Description:  . Category: Collection Operations.
__HARMONIZELISTS__,Tool: Harmonize two collections. Description:  . Category: Collection Operations.
__CROSS_PRODUCT_FLAT__,Tool: Flat Cross Product. Description:  . Category: Collection Operations.
__CROSS_PRODUCT_NESTED__,Tool: Nested Cross Product. Description:  . Category: Collection Operations.
__TAG_FROM_FILE__,Tool: Tag elements. Description:  . Category: Collection Operations.
__APPLY_RULES__,Tool: Apply rules. Description:  . Category: Collection Operations.
__BUILD_LIST__,Tool: Build list. Description:  . Category: Collection Operations.
__EXTRACT_DATASET__,Tool: Extract dataset. Description:  . Category: Collection Operations.
__DUPLICATE_FILE_TO_COLLECTION__,Tool: Duplicate file to collection. Description:  . Category: Collection Operations.
param_value_from_file,Tool: Parse parameter value. Description: from dataset. Category: Expression Tools.
addValue,Tool: Add column. Description: to an existing dataset. Category: Text Manipulation.
cat1,Tool: Concatenate datasets. Description: tail-to-head. Category: Text Manipulation.
Condense characters1,Tool: Condense. Description: consecutive characters. Category: Text Manipulation.
Convert characters1,Tool: Convert. Description: delimiters to TAB. Category: Text Manipulation.
mergeCols1,Tool: Merge Columns. Description: together. Category: Text Manipulation.
createInterval,Tool: Create single interval. Description: as a new dataset. Category: Text Manipulation.
Cut1,Tool: Cut. Description: columns from a table. Category: Text Manipulation.
ChangeCase,Tool: Change Case. Description: of selected columns. Category: Text Manipulation.
Paste1,Tool: Paste. Description: two files side by side. Category: Text Manipulation.
Remove beginning1,Tool: Remove beginning. Description: of a file. Category: Text Manipulation.
random_lines1,Tool: Select random lines. Description: from a file. Category: Text Manipulation.
Show beginning1,Tool: Select first. Description: lines from a dataset. Category: Text Manipulation.
Show tail1,Tool: Select last. Description: lines from a dataset. Category: Text Manipulation.
trimmer,Tool: Trim. Description: leading or trailing characters. Category: Text Manipulation.
wc_gnu,Tool: Line/Word/Character count. Description: of a dataset. Category: Text Manipulation.
secure_hash_message_digest,Tool: Secure Hash / Message Digest. Description: on a dataset. Category: Text Manipulation.
Filter1,Tool: Filter. Description: data on any column using simple expressions. Category: Filter and Sort.
Grep1,Tool: Select. Description: lines that match an expression. Category: Filter and Sort.
Extract_features1,Tool: Extract features. Description: from GFF data. Category: Filter and Sort.
gff_filter_by_attribute,Tool: Filter GFF data by attribute. Description: using simple expressions. Category: Filter and Sort.
gff_filter_by_feature_count,Tool: Filter GFF data by feature count. Description: using simple expressions. Category: Filter and Sort.
gtf_filter_by_attribute_values_list,Tool: Filter GTF data by attribute values_list. Description:  . Category: Filter and Sort.
join1,"Tool: Join two Datasets. Description: side by side on a specified field. Category: Join, Subtract and Group."
comp1,"Tool: Compare two Datasets. Description: to find common or distinct rows. Category: Join, Subtract and Group."
Grouping1,"Tool: Group. Description: data by a column and perform aggregate operation on other columns.. Category: Join, Subtract and Group."
bed2gff1,Tool: BED-to-GFF. Description: converter. Category: Convert Formats.
gff2bed1,Tool: GFF-to-BED. Description: converter. Category: Convert Formats.
MAF_To_BED1,Tool: MAF to BED. Description: Converts a MAF formatted file to the BED format. Category: Convert Formats.
MAF_To_Interval1,Tool: MAF to Interval. Description: Converts a MAF formatted file to the Interval format. Category: Convert Formats.
MAF_To_Fasta1,Tool: MAF to FASTA. Description: Converts a MAF formatted file to FASTA format. Category: Convert Formats.
Sff_extractor,Tool: SFF converter. Description:  . Category: Convert Formats.
bed_to_bigBed,Tool: BED-to-bigBed. Description: converter. Category: Convert Formats.
liftOver1,Tool: Convert genome coordinates. Description: between assemblies and genomes. Category: Lift-Over.
wiggle2simple1,Tool: Wiggle-to-Interval. Description: converter. Category: Operate on Genomic Intervals.
aggregate_scores_in_intervals2,"Tool: Aggregate datapoints. Description: Appends the average, min, max of datapoints per interval. Category: Operate on Genomic Intervals."
gene2exon1,Tool: Gene BED To Exon/Intron/Codon BED. Description: expander. Category: Operate on Genomic Intervals.
Interval2Maf_pairwise1,Tool: Extract Pairwise MAF blocks. Description: given a set of genomic intervals. Category: Fetch Sequences/Alignments.
Interval_Maf_Merged_Fasta2,Tool: Stitch MAF blocks. Description: given a set of genomic intervals. Category: Fetch Sequences/Alignments.
GeneBed_Maf_Fasta2,Tool: Stitch Gene blocks. Description: given a set of coding exon intervals. Category: Fetch Sequences/Alignments.
maf_stats1,Tool: MAF Coverage Stats. Description: Alignment coverage information. Category: Fetch Sequences/Alignments.
MAF_Thread_For_Species1,Tool: Join MAF blocks. Description: by Species. Category: Fetch Sequences/Alignments.
MAF_Limit_To_Species1,Tool: Filter MAF blocks. Description: by Species. Category: Fetch Sequences/Alignments.
maf_limit_size1,Tool: Filter MAF blocks. Description: by Size. Category: Fetch Sequences/Alignments.
maf_by_block_number1,Tool: Extract MAF by block number. Description: given a set of block numbers and a MAF file. Category: Fetch Sequences/Alignments.
MAF_Reverse_Complement_1,Tool: Reverse Complement. Description: a MAF file. Category: Fetch Sequences/Alignments.
MAF_filter,Tool: Filter MAF. Description: by specified attributes. Category: Fetch Sequences/Alignments.
hgv_linkToGProfile,Tool: g:Profiler. Description: tools for functional profiling of gene lists. Category: Phenotype Association.
hgv_david,Tool: DAVID. Description: functional annotation for a list of genes. Category: Phenotype Association.
hgv_ldtools,Tool: LD. Description: linkage disequilibrium and tag SNPs. Category: Phenotype Association.
hgv_pass,Tool: PASS. Description: significant transcription factor binding sites from ChIP data. Category: Phenotype Association.
hgv_gpass,Tool: GPASS. Description: significant single-SNP associations in case-control studies. Category: Phenotype Association.
hgv_beam,Tool: BEAM. Description: significant single- and multi-locus SNP associations in case-control studies. Category: Phenotype Association.
hgv_lps,Tool: LPS. Description: LASSO-Patternsearch algorithm. Category: Phenotype Association.
master2pgSnp,Tool: MasterVar to pgSnp. Description: Convert from MasterVar to pgSnp format. Category: Phenotype Association.
Summary_Statistics1,Tool: Summary Statistics. Description: for any numerical column. Category: Statistics. Topics: topic_2269.
Count1,Tool: Count. Description: occurrences of each record. Category: Statistics.
vcf_to_maf_customtrack1,Tool: VCF to MAF Custom Track. Description: for display at UCSC. Category: Graph/Display Data.
interactive_tool_jupyter_notebook,Tool: Interactive JupyterLab Notebook. Description:  . Category: Interactive Tools.
interactive_tool_panoply,Tool: Panoply. Description: interative plotting tool for geo-referenced data. Category: Interactive Tools.
