model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,link,min_width,target,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed
Tool,upload1,Upload File,1.1.7,from your computer,[],,"[""operation_0224""]",[],,false,[],/tool_runner?tool_id=upload1,-1,galaxy_main,get_data,Get Data,regular,,,,
DataSourceTool,ucsc_table_direct1,UCSC Main,1.0.0,table browser,[],,"[""operation_0224""]",[],,false,[],/tool_runner/data_source_redirect?tool_id=ucsc_table_direct1,800,_top,get_data,Get Data,special,,,,
DataSourceTool,ucsc_table_direct_archaea1,UCSC Archaea,1.0.0,table browser,[],,"[""operation_0224""]",[],,false,[],/tool_runner/data_source_redirect?tool_id=ucsc_table_direct_archaea1,800,_top,get_data,Get Data,special,,,,
DataSourceTool,sra_source,SRA,1.0.1,server,[],,"[""operation_0224""]",[],,false,[],/tool_runner/data_source_redirect?tool_id=sra_source,-1,_top,get_data,Get Data,special,,,,
DataSourceTool,ebi_sra_main,EBI SRA,1.0.1,ENA SRA,[],,"[""operation_0224""]",[],,false,[],/tool_runner/data_source_redirect?tool_id=ebi_sra_main,800,_top,get_data,Get Data,special,,,,
DataSourceTool,intermine,InterMine,1.0.0,server,[],,"[""operation_0224""]",[],,false,[],/tool_runner/data_source_redirect?tool_id=intermine,800,_top,get_data,Get Data,special,,,,
Tool,export_remote,Export datasets,0.1.0,to remote files source,[],,[],[],,true,[],/tool_runner?tool_id=export_remote,-1,galaxy_main,send_data,Send Data,regular,,,,
UnzipCollectionTool,__UNZIP_COLLECTION__,Unzip collection,1.0.0,,[],,"[""operation_3359""]",[],,true,[],/tool_runner?tool_id=__UNZIP_COLLECTION__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
ZipCollectionTool,__ZIP_COLLECTION__,Zip collections,1.0.0,,[],,"[""operation_3436""]",[],,true,[],/tool_runner?tool_id=__ZIP_COLLECTION__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
FilterFailedDatasetsTool,__FILTER_FAILED_DATASETS__,Filter failed datasets,1.0.0,,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=__FILTER_FAILED_DATASETS__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
FilterEmptyDatasetsTool,__FILTER_EMPTY_DATASETS__,Filter empty datasets,1.0.0,,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=__FILTER_EMPTY_DATASETS__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
KeepSuccessDatasetsTool,__KEEP_SUCCESS_DATASETS__,Keep success,1.0.0,,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=__KEEP_SUCCESS_DATASETS__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
FlattenTool,__FLATTEN__,Flatten collection,1.0.0,,[],,"[""operation_2409""]",[],,true,[],/tool_runner?tool_id=__FLATTEN__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
MergeCollectionTool,__MERGE_COLLECTION__,Merge collections,1.0.0,,[],,"[""operation_2409""]",[],,true,[],/tool_runner?tool_id=__MERGE_COLLECTION__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
RelabelFromFileTool,__RELABEL_FROM_FILE__,Relabel identifiers,1.1.0,,[],,"[""operation_3096""]",[],,true,[],/tool_runner?tool_id=__RELABEL_FROM_FILE__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
FilterFromFileTool,__FILTER_FROM_FILE__,Filter collection,1.0.0,,[],,"[""operation_3695""]",[],,true,[],/tool_runner?tool_id=__FILTER_FROM_FILE__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
SortTool,__SORTLIST__,Sort collection,1.0.0,,[],,"[""operation_3802""]",[],,true,[],/tool_runner?tool_id=__SORTLIST__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
HarmonizeTool,__HARMONIZELISTS__,Harmonize two collections,1.0.0,,[],,"[""operation_0335""]",[],,true,[],/tool_runner?tool_id=__HARMONIZELISTS__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
CrossProductFlatCollectionTool,__CROSS_PRODUCT_FLAT__,Flat Cross Product,1.0.0,,[],,"[""operation_3436""]",[],,true,[],/tool_runner?tool_id=__CROSS_PRODUCT_FLAT__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
CrossProductNestedCollectionTool,__CROSS_PRODUCT_NESTED__,Nested Cross Product,1.0.0,,[],,"[""operation_3436""]",[],,true,[],/tool_runner?tool_id=__CROSS_PRODUCT_NESTED__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
TagFromFileTool,__TAG_FROM_FILE__,Tag elements,1.0.0,,[],,"[""operation_3096""]",[],,true,[],/tool_runner?tool_id=__TAG_FROM_FILE__,-1,galaxy_main,collection_operations,Collection Operations,regular,,,,
